"country","debt_id","portfolio_id","collector","comm_target","debt_age","age_bucket","sector","client_name","d_status","paying_accs","new_accs","debt_original_amount"
"Trinidad","6902073.T","103","Krishandai","66315","6.79","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","9950.41"
"Trinidad","6902077.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","22504.90"
"Trinidad","6902308.T","103","Krishandai","66315","6.31","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","2200.20"
"Trinidad","6902349.T","103","Krishandai","66315","7.98","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","16657.60"
"Trinidad","6902356.T","103","Krishandai","66315","11.37","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Judgement","Non-paying","Not New","24630.30"
"Trinidad","6902399.T","103","Krishandai","66315","12.49","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","8837.22"
"Trinidad","6902401.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","9870.68"
"Trinidad","6903060.T","103","Krishandai","66315","12.20","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","82577.70"
"Trinidad","6903851.T","103","Krishandai","66315","10.44","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","12471.50"
"Trinidad","6903962.T","103","Krishandai","66315","8.44","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","8706.23"
"Trinidad","6903967.T","103","Krishandai","66315","10.01","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","9203.58"
"Trinidad","6904079.T","103","Krishandai","66315","7.18","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","15711.40"
"Trinidad","6904504.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Non-paying","Not New","50589.60"
"Trinidad","6904553.T","103","Krishandai","66315","123.22","Unknown","Banking","ASCENDANCY - SCOTIABANK","Active","Non-paying","Not New","26126.74"
"Trinidad","6906903.T","103","Krishandai","66315",,"Unknown","Other","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","2166.71"
"Trinidad","6907077.T","103","Krishandai","66315","6.33","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","18092.80"
"Trinidad","6907190.T","103","Krishandai","66315","9.66","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","6016.69"
"Trinidad","6907192.T","103","Krishandai","66315","8.45","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","8932.30"
"Trinidad","6907198.T","103","Krishandai","66315","6.40","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","6063.13"
"Trinidad","6907297.T","103","Krishandai","66315","8.81","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","37311.30"
"Trinidad","6908244.T","103","Krishandai","66315","9.80","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","6918.69"
"Trinidad","6908788.T","103","Krishandai","66315",,"Unknown","Other","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","15344.80"
"Trinidad","6908792.T","103","Krishandai","66315","7.43","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","14035.10"
"Trinidad","6908820.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Non-paying","Not New","7998.13"
"Trinidad","6909059.T","103","Krishandai","66315","11.55","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","36264.20"
"Trinidad","6909233.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","20666.60"
"Trinidad","6909402.T","103","Krishandai","66315",,"Unknown","Other","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","75196.30"
"Trinidad","6909434.T","103","Krishandai","66315","9.33","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","18787.00"
"Trinidad","6909637.T","103","Krishandai","66315","7.75","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","24411.50"
"Trinidad","6909839.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","23434.40"
"Trinidad","6909932.T","103","Krishandai","66315","9.30","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","22638.80"
"Trinidad","6909976.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","17936.30"
"Trinidad","6910000.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","45203.00"
"Trinidad","6910326.T","103","Krishandai","66315","9.19","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","18091.30"
"Trinidad","6910671.T","103","Krishandai","66315","10.26","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","17335.80"
"Trinidad","6910686.T","103","Krishandai","66315",,"Unknown","Other","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","24460.40"
"Trinidad","6912717.T","103","Krishandai","66315","6.27","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","10953.60"
"Trinidad","6912722.T","103","Krishandai","66315","9.09","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","13103.90"
"Trinidad","6912961.T","103","Krishandai","66315","6.27","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","60728.40"
"Trinidad","6913028.T","103","Krishandai","66315","8.46","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","67755.70"
"Trinidad","6913034.T","103","Krishandai","66315",,"Unknown","Other","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","16081.10"
"Trinidad","6913083.T","103","Krishandai","66315","6.21","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","18966.10"
"Trinidad","6913116.T","103","Krishandai","66315","9.65","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","22891.80"
"Trinidad","6913139.T","103","Krishandai","66315","7.92","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","38788.00"
"Trinidad","6913168.T","103","Krishandai","66315","8.84","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","26013.50"
"Trinidad","6913288.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","3847.29"
"Trinidad","6913306.T","103","Krishandai","66315","8.01","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","5822.18"
"Trinidad","6913447.T","103","Krishandai","66315","8.03","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","5597.07"
"Trinidad","6913513.T","103","Krishandai","66315","7.22","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","24014.60"
"Trinidad","6914044.T","103","Krishandai","66315","9.41","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","21187.90"
"Trinidad","6914075.T","103","Krishandai","66315","9.02","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","46363.20"
"Trinidad","6914081.T","103","Krishandai","66315","18.84","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","27903.90"
"Trinidad","6914248.T","103","Krishandai","66315","6.40","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","25073.60"
"Trinidad","6914413.T","103","Krishandai","66315","8.13","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","13827.80"
"Trinidad","6914623.T","103","Krishandai","66315","6.53","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","53362.30"
"Trinidad","6914950.T","103","Krishandai","66315","13.32","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","29123.10"
"Trinidad","6914992.T","103","Krishandai","66315","8.55","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","26788.60"
"Trinidad","6915057.T","103","Krishandai","66315","6.45","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","14660.00"
"Trinidad","6915065.T","103","Krishandai","66315","6.55","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","8418.23"
"Trinidad","6915336.T","103","Krishandai","66315","7.89","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","2847.65"
"Trinidad","6915428.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","12676.80"
"Trinidad","6915459.T","103","Krishandai","66315","8.65","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","14119.20"
"Trinidad","6915608.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","15000.00"
"Trinidad","6915622.T","103","Krishandai","66315",,"Unknown","Other","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","15243.00"
"Trinidad","6915721.T","103","Krishandai","66315","15.88","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","75087.70"
"Trinidad","6915722.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","50445.00"
"Trinidad","6915732.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","47465.90"
"Trinidad","6915770.T","103","Krishandai","66315","7.25","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","30607.90"
"Trinidad","6915841.T","103","Krishandai","66315","7.44","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","18232.50"
"Trinidad","6915958.T","103","Krishandai","66315","8.47","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","30438.10"
"Trinidad","6916044.T","103","Krishandai","66315","9.83","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","33051.10"
"Trinidad","6916100.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","40202.70"
"Trinidad","6916145.T","103","Krishandai","66315","6.52","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","13765.60"
"Trinidad","6916196.T","103","Krishandai","66315","7.71","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","25122.00"
"Trinidad","6916210.T","103","Krishandai","66315","6.46","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","21559.40"
"Trinidad","6916241.T","103","Krishandai","66315","10.45","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","12985.90"
"Trinidad","6916300.T","103","Krishandai","66315","6.33","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","37077.40"
"Trinidad","6916418.T","103","Krishandai","66315","8.28","5 - 10 yrs","Banking","SCOTIABANK T & T LTD (CRC UNIT).","Active","Non-paying","Not New","32781.60"
"Trinidad","6916473.T","103","Krishandai","66315","6.80","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","62573.00"
